"Group plugin","New rule","Existing rule","SDLC stage","Kind","Test type","Plugin","Location","Trigger"
"machinery","At session start, state the rule protocol: how to dictate a rule (PRULE:, URULE:, SPEC:), where captures land, what stays blocked until filed, where the register lives, and that universal rules go through the universal-rules skill's trigger.","M169: - Every session opens with this protocol: how to dictate a standing rule, where the capture lands, what stays blocked until it is filed, where the register lives, and that a universal rule goes through the universal-rules skill's own trigger rather than the project mark.","SESSION-START","RULE-PROCESS","","machinery","plugins/machinery/rules/rule-governance.md § Honesty about the machinery","session start"
"machinery","When a rule is captured, pending at a prompt, or reported PENDING by the gate, run /machinery:rule-intake (the skill holds the commands): list pending entries (project rules only from a root session; in an isolated copy say so and stop), write each home with place.mjs, then commit home, regenerated index and disposition together with intake.mjs (universal also bumps the plugin version, and its project disposition lands in the same sitting), or dismiss a non-rule with its reason. Universal rules then /machinery:reload. Report each filing as file § Section and each dismissal with its reason. Never file a rule nobody dictated.","M492: ${n} rule${n === 1 ? '' : 's'} pending in the inbox${proj && univ ? 'es' : ''} — running intake (skill: machinery:rule-intake) before this prompt.","SESSION-START","RULE-PROCESS","","machinery","plugins/machinery/scripts/capture.mjs § main()","rules pending in inbox at prompt"
"machinery","","M147: - A change that adds, changes or supersedes a standing rule updates the register in the same commit as the rule's own home.","COMMIT","RULE-PROCESS","","machinery","plugins/machinery/rules/rule-governance.md § Where a rule lives","change adds/changes/supersedes a rule"
"machinery","","M157: - Close the loop on a captured rule by replacing pending with either where it was filed or why it is not a rule, and commit the rule's home, the register and the inbox together where they share a repository. A universal rule's home and its register row are in the shared skill while the entry that captured it is in the project, so the home and its row land together there and the disposition lands in the project in the same sitting, never left for later.","COMMIT","RULE-PROCESS","","machinery","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","closing a captured rule"
"machinery","","M391: 5. **Commit the filing** (index regenerated, entry dispositioned, one commit in one repository; universal also bumps the plugin version): `node ""${CLAUDE_PLUGIN_ROOT}/scripts/intake.mjs"" commit --kind project|universal --stamp <stamp> --home ""<file> § <Heading>""`","COMMIT","RULE-PROCESS","","machinery","claude-code/machinery/rule-intake/SKILL.md § /machinery:rule-intake","rule home written"
"machinery","","M392: 6. **Dismiss** instead of file when the dictated text is not a rule (a question, a duplicate): `node ""${CLAUDE_PLUGIN_ROOT}/scripts/disposition.mjs"" --inbox <inbox> --stamp <stamp> --dismissed ""<reason>""`, then commit the inbox.","COMMIT","RULE-PROCESS","","machinery","claude-code/machinery/rule-intake/SKILL.md § /machinery:rule-intake","dictated text is not a rule"
"machinery","","M394: 8. Report what was filed where, verbatim `file § Section`, and what was dismissed with its reason.","CLAIM","REPORTING","","machinery","claude-code/machinery/rule-intake/SKILL.md § /machinery:rule-intake","intake finished"
"machinery","","M385: Use the moment a PRULE: or URULE: prompt is captured (the capture hook says ""run the intake sequence now""), when a prompt starts with ""N rules pending — running intake"", or when the commit gate reports a PENDING entry. Files each pending rule into its home, regenerates the index, dispositions the entry, commits. Never self-files a rule nobody dictated.","ANY","SKILL-TRIGGER","","machinery","claude-code/machinery/rule-intake/SKILL.md § frontmatter","PRULE/URULE captured, pending intake, or gate PENDING"
"machinery","","M387: 1. **List** what is pending: `node ""${CLAUDE_PLUGIN_ROOT}/scripts/intake.mjs"" list` — one line per entry: `stamp  marker  inbox  first-line`. PRULE entries appear only in a root session; if you are in an isolated working copy, say so and stop — they will be filed from a root session.","ANY","RULE-PROCESS","","machinery","claude-code/machinery/rule-intake/SKILL.md § /machinery:rule-intake","running rule intake"
"machinery","","M390: 4. **Write the home** with the only bullet writer: `node ""${CLAUDE_PLUGIN_ROOT}/scripts/place.mjs"" --file <rule file> --section ""<Heading>"" --text ""<wording>""`.","ANY","RULE-PROCESS","","machinery","claude-code/machinery/rule-intake/SKILL.md § /machinery:rule-intake","writing the rule home"
