"id","kind","source","disposition","destination","decision","note"
"M1","AGENTS","plugins/machinery/rules/agent-topology.md § What gets dispatched","dropped","","12","Main session does small focused work itself"
"M2","AGENTS","plugins/machinery/rules/agent-topology.md § What gets dispatched","dropped","","12","Size now decides: pool only for context-flooding or large work"
"M3","AGENTS","plugins/machinery/rules/agent-topology.md § What gets dispatched","skill","draft/skills/agents/SKILL.md","12","Procedure invoked inside dispatch"
"M4","AGENTS","plugins/machinery/rules/agent-topology.md § Which model","merged","M5","2","Cheapest-model rule folded into tier line"
"M5","AGENTS","plugins/machinery/rules/agent-topology.md § Which model","skill","draft/skills/agents/SKILL.md","2","Model tier table kept"
"M6","AGENTS","plugins/machinery/rules/agent-topology.md § Which model","skill","draft/skills/agents/SKILL.md","11","Spot-check and redo one tier up"
"M7","PLANNING","plugins/machinery/rules/agent-topology.md § Which model","merged","M5","2","Plan names model per kind"
"M8","AGENTS","plugins/machinery/rules/agent-topology.md § How many at once","merged","M18","Agents pool ruling","One agent per kind, serial"
"M9","AGENTS","plugins/machinery/rules/agent-topology.md § How many at once","skill","draft/skills/agents/SKILL.md","Agents pool ruling","Standing kinds; only owner names new kind"
"M10","AGENTS","plugins/machinery/rules/agent-topology.md § How many at once","merged","M18","Agents pool ruling","Serial within kind"
"M11","AGENTS","plugins/machinery/rules/agent-topology.md § How many at once","skill","draft/skills/agents/SKILL.md","Agents pool ruling","Check live-agents view"
"M12","AGENTS","plugins/machinery/rules/agent-topology.md § How many at once","skill","draft/skills/agents/SKILL.md","Agents pool ruling","No sub-agents"
"M13","AGENTS","plugins/machinery/rules/agent-topology.md § How many at once","skill","draft/skills/agents/SKILL.md","Agents pool ruling","Fan-out only on explicit request"
"M14","AGENTS","plugins/machinery/rules/agent-topology.md § Batching","skill","draft/skills/agents/SKILL.md","Agents pool ruling","Batching kept, rationale cut"
"M15","AGENTS","plugins/machinery/rules/agent-topology.md § Batching","merged","M18","Agents pool ruling","Batches still serial"
"M16","AGENTS","plugins/machinery/rules/agent-topology.md § Batching","merged","M14","2","Batch independence"
"M17","REPORTING","plugins/machinery/rules/agent-topology.md § Batching","merged","M14","Reports ruling","Batch count in report"
"M18","AGENTS","plugins/machinery/rules/agent-topology.md § Batching","skill","draft/skills/agents/SKILL.md","Agents pool ruling","Pool reuse replaces fresh agent per task"
"M19","WORKTREE","plugins/machinery/rules/agent-topology.md § Where an agent works","dropped","","9, 22","Worktree use is the project's worktree setting (config.json)"
"M20","WORKTREE","plugins/machinery/rules/agent-topology.md § Where an agent works","skill","draft/skills/worktree/SKILL.md","9","One agent per worktree"
"M21","WORKTREE","plugins/machinery/rules/agent-topology.md § Where an agent works","merged","M22","11","Exercising work runs from its own worktree"
"M22","WORKTREE","plugins/machinery/rules/agent-topology.md § Where an agent works","skill","draft/skills/worktree/SKILL.md","9","Stand-in services from own worktree; stop process first"
"M23","AGENTS","plugins/machinery/rules/agent-topology.md § Where an agent works","skill","draft/skills/agents/SKILL.md","Agents pool ruling","Name agent at spawn"
"M24","COMMUNICATION","plugins/machinery/rules/agent-topology.md § Working with the owner","core","draft/core.md","Owner rule","Two-failures switch"
"M25","OTHER","plugins/machinery/rules/agent-topology.md § Working with the owner","skill","draft/skills/worktree/SKILL.md","2","Sign-off before structural change; seam record unnamed"
"M26","AGENTS","plugins/machinery/rules/agent-topology.md § Defining a standing agent","skill","draft/skills/agents/SKILL.md","4","Written as when creating/modifying agent definition"
"M27","AGENTS","plugins/machinery/rules/agent-topology.md § Defining a standing agent","merged","M26","2","One question, out-of-scope in one line"
"M28","AGENTS","plugins/machinery/rules/agent-topology.md § Defining a standing agent","merged","M26","2","Hand off other agents' questions"
"M29","AGENTS","plugins/machinery/rules/agent-topology.md § Containment is structural","skill","draft/skills/agents/SKILL.md","4","Judging agents get no command/write tools"
"M30","AGENTS","plugins/machinery/rules/agent-topology.md § Containment is structural","merged","M29","2","Caller supplies scope or blocked"
"M31","AGENTS","plugins/machinery/rules/agent-topology.md § Containment is structural","skill","draft/skills/agents/SKILL.md","4","Allowlist and forbidden-by-name list"
"M32","AGENTS","plugins/machinery/rules/agent-topology.md § Containment is structural","merged","M31","2","Verifier never integrates"
"M33","AGENTS","plugins/machinery/rules/agent-topology.md § Containment is structural","merged","M31","2","Reviewer forbidden ref-moving commands"
"M34","AGENTS","plugins/machinery/rules/agent-topology.md § Containment is structural","skill","draft/skills/agents/SKILL.md","2","No staging owner's protected records"
"M35","AGENTS","plugins/machinery/rules/agent-topology.md § Containment is structural","dropped","","Agents pool ruling","One agent per kind: no parallel implementers"
"M36","AGENTS","plugins/machinery/rules/agent-topology.md § Containment is structural","skill","draft/skills/agents/SKILL.md","2, 27","Never commits to protected branch; person/agent review before main is setup item review"
"M37","AGENTS","plugins/machinery/rules/agent-topology.md § Aiming a fan-out","merged","M38","2","Rationale folded into triage line"
"M38","AGENTS","plugins/machinery/rules/agent-topology.md § Aiming a fan-out","skill","draft/skills/agents/SKILL.md","2","Triage gate before fan-out"
"M39","AGENTS","plugins/machinery/rules/agent-topology.md § Aiming a fan-out","merged","M38","2","No fixed count"
"M40","REPORTING","plugins/machinery/rules/agent-topology.md § Aiming a fan-out","merged","M38","Reports ruling","Report dropped by category"
"M41","AGENTS","plugins/machinery/rules/agent-topology.md § What an agent may conclude","skill","draft/skills/agents/SKILL.md","2","Scan hit is suspicion"
"M42","AGENTS","plugins/machinery/rules/agent-topology.md § What an agent may conclude","merged","M250","1","Read authority fresh"
"M43","AGENTS","plugins/machinery/rules/agent-topology.md § What an agent may conclude","merged","M44","1","Unratified record leaves open questions open"
"M44","AGENTS","plugins/machinery/rules/agent-topology.md § What an agent may conclude","core","draft/core.md","1","Undecided question: file and stop"
"M45","TESTING","plugins/machinery/rules/agent-topology.md § What an agent may conclude","skill","draft/skills/agents/SKILL.md","11","Failed proposals discarded unread"
"M46","AGENTS","plugins/machinery/rules/agent-topology.md § Handing a ruling to a dispatched agent","skill","draft/skills/agents/SKILL.md","2","Ruling passed verbatim"
"M47","AGENTS","plugins/machinery/rules/agent-topology.md § Handing a ruling to a dispatched agent","merged","M46","2","No licence to deviate"
"M48","AGENTS","plugins/machinery/rules/agent-topology.md § Handing a ruling to a dispatched agent","skill","draft/skills/agents/SKILL.md","2","Departures go to owner"
"M49","DESIGN","plugins/machinery/rules/design-invariants.md § The mandate","parked","unbreakable (future claude-code/unbreakable/)","19","cant-break-by-design mandate; dependency re-examined with unbreakable"
"M50","DESIGN","plugins/machinery/rules/design-invariants.md § The mandate","parked","unbreakable (future claude-code/unbreakable/)","19","Strength rating belongs to auditor scale"
"M51","DESIGN","plugins/machinery/rules/design-invariants.md § Where a distinguishing type is created","parked","unbreakable (future)","24","Distinguishing type created at source of truth; draft kept in draft/parked-unbreakable/design"
"M52","DESIGN","plugins/machinery/rules/design-invariants.md § Where a distinguishing type is created","parked","unbreakable (future)","24","was merged into M51; Shared vocabulary unit; draft kept in draft/parked-unbreakable/design"
"M53","DESIGN","plugins/machinery/rules/design-invariants.md § Where a distinguishing type is created","parked","unbreakable (future)","24","Own unit; source check is the safeguard's own test; draft kept in draft/parked-unbreakable/design"
"M54","DESIGN","plugins/machinery/rules/design-invariants.md § Where a distinguishing type is created","parked","unbreakable (future)","24","was merged into M53; Marker member blocks generated constructors; draft kept in draft/parked-unbreakable/design"
"M55","TESTING","plugins/machinery/rules/design-invariants.md § Where a distinguishing type is created","merged","M76","4","Compile-fail proofs written by creating change, TDD red"
"M56","DESIGN","plugins/machinery/rules/design-invariants.md § Where a distinguishing type is created","parked","unbreakable (future)","24","Compile definitions in; draft kept in draft/parked-unbreakable/design"
"M57","TOOLING","plugins/machinery/rules/design-invariants.md § Weak claims and the enforcement ledger","parked","unbreakable (future claude-code/unbreakable/)","19","Enforcement-ledger section"
"M58","RECORDS","plugins/machinery/rules/design-invariants.md § Weak claims and the enforcement ledger","parked","unbreakable (future claude-code/unbreakable/)","19","Enforcement-ledger section"
"M59","RECORDS","plugins/machinery/rules/design-invariants.md § Weak claims and the enforcement ledger","parked","unbreakable (future claude-code/unbreakable/)","19","Enforcement-ledger section"
"M60","RECORDS","plugins/machinery/rules/design-invariants.md § Weak claims and the enforcement ledger","parked","unbreakable (future claude-code/unbreakable/)","19","Enforcement-ledger section"
"M61","DESIGN","plugins/machinery/rules/design-invariants.md § Weak claims and the enforcement ledger","parked","unbreakable (future claude-code/unbreakable/)","19","Enforcement-ledger section"
"M62","DESIGN","plugins/machinery/rules/design-invariants.md § Never re-derive a fact","parked","unbreakable (future)","24","Compute each fact once; draft kept in draft/parked-unbreakable/design"
"M63","DESIGN","plugins/machinery/rules/design-invariants.md § Never re-derive a fact","parked","unbreakable (future)","24","was merged into M62; Format states fact outright; draft kept in draft/parked-unbreakable/design"
"M64","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § Never re-derive a fact","skill","draft/skills/instrumentation/SKILL.md","5","Dump shows values used"
"M65","DESIGN","plugins/machinery/rules/design-invariants.md § Never re-derive a fact","parked","unbreakable (future)","24","was merged into M62; Classification at producer; draft kept in draft/parked-unbreakable/design"
"M66","TESTING","plugins/machinery/rules/design-invariants.md § Measurement and expectation","merged","M67","2","Rationale folded into expectation rule"
"M67","TESTING","plugins/machinery/rules/design-invariants.md § Measurement and expectation","skill","draft/skills/testing/SKILL.md","2","Independent expectation"
"M68","TESTING","plugins/machinery/rules/design-invariants.md § Measurement and expectation","skill","draft/skills/testing/SKILL.md","2","Regression pin labelled"
"M69","TESTING","plugins/machinery/rules/design-invariants.md § Measurement and expectation","merged","M68","2","Say so at assertion"
"M70","DESIGN","plugins/machinery/rules/design-invariants.md § One authority per switch","parked","unbreakable (future)","24","One authority per switch; draft kept in draft/parked-unbreakable/design"
"M71","TESTING","plugins/machinery/rules/design-invariants.md § One authority per switch","merged","M76","4","Scan test written by change creating authority"
"M72","DESIGN","plugins/machinery/rules/design-invariants.md § One authority per switch","parked","unbreakable (future)","24","Choose path outside loop; draft kept in draft/parked-unbreakable/design"
"M73","DESIGN","plugins/machinery/rules/design-invariants.md § One authority per switch","parked","unbreakable (future)","24","was merged into M70; Owning unit resolves shared switch; draft kept in draft/parked-unbreakable/design"
"M74","TESTING","plugins/machinery/rules/design-invariants.md § One authority per switch","parked","unbreakable (future)","24","Shared switch spelled once; draft kept in draft/parked-unbreakable/design"
"M75","TESTING","plugins/machinery/rules/design-invariants.md § One authority per switch","parked","unbreakable (future)","24","was merged into M74; Mirror table generated or checked; draft kept in draft/parked-unbreakable/design"
"M76","TESTING","plugins/machinery/rules/design-invariants.md § One authority per switch","skill","draft/skills/testing/SKILL.md","4","Safeguard tests only by creating/modifying change"
"M77","DESIGN","plugins/machinery/rules/design-invariants.md § Absence and defaults","parked","unbreakable (future)","24","Ask what a category carried; draft kept in draft/parked-unbreakable/design"
"M78","DESIGN","plugins/machinery/rules/design-invariants.md § Absence and defaults","parked","unbreakable (future)","24","was merged into M81; Empty collection not stand-in; draft kept in draft/parked-unbreakable/design"
"M79","DESIGN","plugins/machinery/rules/design-invariants.md § Absence and defaults","parked","unbreakable (future)","24","was merged into M86; Optional only when absence is signal; draft kept in draft/parked-unbreakable/design"
"M80","DESIGN","plugins/machinery/rules/design-invariants.md § Absence and defaults","parked","unbreakable (future)","24","was merged into M81; Inherit vs zero elements; draft kept in draft/parked-unbreakable/design"
"M81","DESIGN","plugins/machinery/rules/design-invariants.md § Absence and defaults","parked","unbreakable (future)","24","Absence rule; draft kept in draft/parked-unbreakable/design"
"M82","DESIGN","plugins/machinery/rules/design-invariants.md § Absence and defaults","parked","unbreakable (future)","24","was merged into M81; Empty default; draft kept in draft/parked-unbreakable/design"
"M83","DESIGN","plugins/machinery/rules/design-invariants.md § Absence and defaults","parked","unbreakable (future)","24","was merged into M81; Never default everything; draft kept in draft/parked-unbreakable/design"
"M84","DESIGN","plugins/machinery/rules/design-invariants.md § The three classes of setting","parked","unbreakable (future)","24","First-class setting; draft kept in draft/parked-unbreakable/design"
"M85","DESIGN","plugins/machinery/rules/design-invariants.md § The three classes of setting","parked","unbreakable (future)","24","Computed setting; draft kept in draft/parked-unbreakable/design"
"M86","DESIGN","plugins/machinery/rules/design-invariants.md § The three classes of setting","parked","unbreakable (future)","24","Optional override; draft kept in draft/parked-unbreakable/design"
"M87","DESIGN","plugins/machinery/rules/design-invariants.md § External input","parked","unbreakable (future)","24","External input never crashes; draft kept in draft/parked-unbreakable/design"
"M88","DESIGN","plugins/machinery/rules/design-invariants.md § Handing a resource on","parked","unbreakable (future)","24","Remove consumed resource; draft kept in draft/parked-unbreakable/design"
"M89","DESIGN","plugins/machinery/rules/design-invariants.md § Handing a resource on","parked","unbreakable (future)","24","was merged into M88; Removal before derivation; draft kept in draft/parked-unbreakable/design"
"M90","DESIGN","plugins/machinery/rules/design-invariants.md § Handing a resource on","parked","unbreakable (future)","24","was merged into M91; Two declines differently named; draft kept in draft/parked-unbreakable/design"
"M91","DESIGN","plugins/machinery/rules/design-invariants.md § Handing a resource on","parked","unbreakable (future)","24","Decline routing; draft kept in draft/parked-unbreakable/design"
"M92","DESIGN","plugins/machinery/rules/design-invariants.md § Handing a resource on","parked","unbreakable (future)","24","was merged into M91; Leftovers go forward; draft kept in draft/parked-unbreakable/design"
"M93","DESIGN","plugins/machinery/rules/design-invariants.md § Handing a resource on","parked","unbreakable (future)","24","One named recipient; draft kept in draft/parked-unbreakable/design"
"M94","DESIGN","plugins/machinery/rules/design-invariants.md § Handing a resource on","parked","unbreakable (future)","24","was merged into M88; Remove exactly what was produced; draft kept in draft/parked-unbreakable/design"
"M95","DESIGN","plugins/machinery/rules/design-invariants.md § Handing a resource on","parked","unbreakable (future)","24","Audit question; draft kept in draft/parked-unbreakable/design"
"M96","DESIGN","plugins/machinery/rules/design-invariants.md § Telling the user what you dropped","parked","unbreakable (future)","24","Tell user what was dropped; draft kept in draft/parked-unbreakable/design"
"M97","DESIGN","plugins/machinery/rules/design-invariants.md § Telling the user what you dropped","parked","unbreakable (future)","24","was merged into M96; Never-read counts; draft kept in draft/parked-unbreakable/design"
"M98","DESIGN","plugins/machinery/rules/design-invariants.md § Telling the user what you dropped","parked","unbreakable (future)","24","was merged into M87; Warn, let operation succeed; draft kept in draft/parked-unbreakable/design"
"M99","DESIGN","plugins/machinery/rules/design-invariants.md § Telling the user what you dropped","parked","unbreakable (future)","24","was merged into M96; Clamped within range counts; draft kept in draft/parked-unbreakable/design"
"M100","DESIGN","plugins/machinery/rules/design-invariants.md § Telling the user what you dropped","parked","unbreakable (future)","24","was merged into M96; Per-source report; draft kept in draft/parked-unbreakable/design"
"M101","DESIGN","plugins/machinery/rules/design-invariants.md § Wiring honesty","parked","unbreakable (future)","24","Wiring honesty; draft kept in draft/parked-unbreakable/design"
"M102","RECORDS","plugins/machinery/rules/design-invariants.md § Wiring honesty","parked","unbreakable (future)","24","was merged into M101; Downstream work tracked separately; draft kept in draft/parked-unbreakable/design"
